Time,Ligtag,Client,Coordinate system,,
2025-11-06 20:37:00 +0800,5519,1,431,,
2025-11-06 20:38:00 +0800,5519,1,431,,
2025-11-06 20:38:00 +0800,5519,1,431,,
2025-11-06 20:40:00 +0800,5519,1,431,,
2025-11-06 20:43:00 +0800,5519,1,431,,
2025-11-06 20:44:00 +0800,5519,1,431,,
2025-11-06 20:45:00 +0800,5519,1,431,,
2025-11-06 20:47:00 +0800,5519,1,431,,
2025-11-06 20:47:00 +0800,5519,1,431,,
2025-11-06 20:49:00 +0800,5519,1,431,,
2025-11-06 21:00:00 +0800,3477,1,435,,
2025-11-06 21:04:00 +0800,5519,1,431,,
2025-11-06 21:06:00 +0800,5441,1,459,,
2025-11-06 21:12:00 +0800,5519,1,431,,
2025-11-06 21:16:00 +0800,5519,1,431,,
2025-11-06 21:20:00 +0800,3477,1,435,,
2025-11-06 21:21:00 +0800,3477,1,435,,
2025-11-06 21:30:00 +0800,5519,1,431,,
2025-11-06 21:30:00 +0800,5519,1,431,,
2025-11-06 21:43:00 +0800,3477,1,435,,
2025-11-06 22:03:00 +0800,3477,1,435,,
2025-11-06 22:04:00 +0800,5519,1,431,,
2025-11-06 22:04:00 +0800,5519,1,431,,
2025-11-06 22:09:00 +0800,5519,1,431,,
2025-11-06 22:27:00 +0800,5441,1,459,,
2025-11-06 22:31:00 +0800,5519,1,431,,
2025-11-06 22:35:00 +0800,5519,1,431,,
2025-11-06 22:50:00 +0800,5519,1,431,,
2025-11-06 23:02:00 +0800,5519,1,431,,
2025-11-06 23:06:00 +0800,5519,1,431,,
2025-11-06 23:07:00 +0800,5519,1,431,,
2025-11-06 23:07:00 +0800,5519,1,431,,
2025-11-06 23:10:00 +0800,3477,1,435,,
2025-11-06 23:11:00 +0800,3477,1,435,,
2025-11-06 23:18:00 +0800,5519,1,431,,
2025-11-06 23:21:00 +0800,3477,1,435,,
2025-11-06 23:25:00 +0800,3477,1,435,,
2025-11-06 23:25:00 +0800,3477,1,435,,
2025-11-06 23:29:00 +0800,5519,1,431,,
2025-11-06 23:32:00 +0800,5519,1,431,,
2025-11-06 23:45:00 +0800,3477,1,435,,
2025-11-07 00:10:00 +0800,3477,1,435,,
2025-11-07 00:19:00 +0800,5519,1,431,,
2025-11-07 00:20:00 +0800,5519,1,431,,
2025-11-07 00:20:00 +0800,5519,1,431,,
2025-11-07 00:21:00 +0800,5441,1,459,,
2025-11-07 05:13:00 +0800,1951,78,472,,
2025-11-07 05:13:00 +0800,1951,78,472,,
2025-11-07 09:23:00 +0800,5519,1,431,,
2025-11-07 09:24:00 +0800,733,1,86,,
2025-11-07 09:30:00 +0800,5519,1,431,,
2025-11-07 09:31:00 +0800,5519,1,431,,
2025-11-07 09:43:00 +0800,5519,1,431,,
2025-11-07 09:48:00 +0800,3477,1,435,,
2025-11-07 09:48:00 +0800,3477,1,435,,
2025-11-07 09:48:00 +0800,3477,1,435,,
2025-11-07 09:56:00 +0800,733,1,86,,
2025-11-07 10:04:00 +0800,3477,1,435,,
2025-11-07 10:04:00 +0800,3477,1,435,,
2025-11-07 10:04:00 +0800,3477,1,435,,
2025-11-07 10:04:00 +0800,3477,1,435,,
2025-11-07 10:04:00 +0800,3477,1,435,,
2025-11-07 10:04:00 +0800,3477,1,435,,
2025-11-07 10:04:00 +0800,3477,1,435,,
2025-11-07 10:04:00 +0800,3477,1,435,,
2025-11-07 10:04:00 +0800,3477,1,435,,
2025-11-07 10:04:00 +0800,3477,1,435,,
2025-11-07 10:05:00 +0800,3477,1,435,,
2025-11-07 10:05:00 +0800,3477,1,435,,
2025-11-07 10:12:00 +0800,5519,1,431,,
2025-11-07 10:12:00 +0800,5519,1,431,,
2025-11-07 10:16:00 +0800,5519,1,431,,
2025-11-07 10:16:00 +0800,3477,1,435,,
2025-11-07 10:16:00 +0800,3477,1,435,,
2025-11-07 10:16:00 +0800,3477,1,435,,
2025-11-07 10:16:00 +0800,3477,1,435,,
2025-11-07 10:16:00 +0800,3477,1,435,,
2025-11-07 10:16:00 +0800,3477,1,435,,
2025-11-07 10:16:00 +0800,3477,1,435,,
2025-11-07 10:18:00 +0800,5519,1,431,,
2025-11-07 10:18:00 +0800,5519,1,431,,
2025-11-07 10:18:00 +0800,5519,1,431,,
2025-11-07 10:18:00 +0800,5519,1,431,,
2025-11-07 10:18:00 +0800,5519,1,431,,
2025-11-07 10:18:00 +0800,5519,1,431,,
2025-11-07 10:18:00 +0800,5519,1,431,,
2025-11-07 10:18:00 +0800,5519,1,431,,
2025-11-07 10:18:00 +0800,5519,1,431,,
2025-11-07 10:18:00 +0800,5519,1,431,,
2025-11-07 10:18:00 +0800,5519,1,431,,
2025-11-07 10:18:00 +0800,5519,1,431,,
2025-11-07 10:23:00 +0800,3477,1,435,,
2025-11-07 10:31:00 +0800,733,1,86,,
2025-11-07 10:39:00 +0800,3477,1,435,,
2025-11-07 10:49:00 +0800,733,1,86,,
